id,message,label
767,Three candles burn before the second bell.,1
930,The old tower watches the road after dark.,1
916,The blue bird will visit the old bridge at 0317.,1
843,The northern star appears after the seventh signal.,1
296,The medical supplies have arrived.,0
400,The medical supplies have arrived.,0
172,Training starts at eight in the morning.,0
780,The hidden instruction starts after the fourth sentence.,1
915,Use the first letter of every unusual sentence.,1
741,Use the first letter of every unusual sentence.,1
795,The old tower watches the road after dark.,1
461,The maintenance team inspected the vehicles.,0
221,Training starts at eight in the morning.,0
552,The second message contains the real instruction.,1
360,Training starts at eight in the morning.,0
12,The briefing will begin after lunch.,0
549,The silent river knows when the lights disappear.,1
791,Five lights followed by two short signals.,1
41,The team completed the scheduled exercise.,0
897,The old tower watches the road after dark.,1
45,The patrol team returned safely to the base.,0
660,The silent river knows when the lights disappear.,1
284,The maintenance team inspected the vehicles.,0
908,Remember blue three seven before sunrise.,1
719,The blue bird will visit the old bridge at 0317.,1
348,The maintenance team inspected the vehicles.,0
527,The silent river knows when the lights disappear.,1
819,The hidden instruction starts after the fourth sentence.,1
227,The weather conditions are clear today.,0
822,Three candles burn before the second bell.,1
869,Three candles burn before the second bell.,1
84,The supply vehicle will arrive at the base at noon.,0
996,Use the first letter of every unusual sentence.,1
857,Five lights followed by two short signals.,1
181,The weather conditions are clear today.,0
375,The maintenance team inspected the vehicles.,0
50,The communication system is functioning normally.,0
156,The maintenance team inspected the vehicles.,0
689,The second message contains the real instruction.,1
302,The logistics report has been submitted.,0
226,All personnel should report to the command center.,0
261,The medical supplies have arrived.,0
376,The supply vehicle will arrive at the base at noon.,0
928,The bridge is quiet when the birds return.,1
590,Remember the third word from every sentence.,1
55,All personnel should report to the command center.,0
23,The transportation schedule has been updated.,0
235,The training exercise was completed successfully.,0
129,The logistics report has been submitted.,0
699,The northern star appears after the seventh signal.,1
808,Remember the third word from every sentence.,1
940,The second message contains the real instruction.,1
230,The team will meet at the training center tomorrow.,0
271,The briefing will begin after lunch.,0
304,The logistics report has been submitted.,0
621,The second message contains the real instruction.,1
964,Remember the third word from every sentence.,1
685,The second message contains the real instruction.,1
433,The logistics report has been submitted.,0
554,The second message contains the real instruction.,1
662,The northern star appears after the seventh signal.,1
731,Remember the third word from every sentence.,1
866,The silent river knows when the lights disappear.,1
141,The team will meet at the training center tomorrow.,0
98,The transportation schedule has been updated.,0
191,The supply vehicle will arrive at the base at noon.,0
752,The red vehicle stops when the clock reaches midnight.,1
998,The red vehicle stops when the clock reaches midnight.,1
232,The patrol team returned safely to the base.,0
9,The briefing will begin after lunch.,0
97,The logistics report has been submitted.,0
457,Training starts at eight in the morning.,0
631,Three candles burn before the second bell.,1
136,All personnel should report to the command center.,0
958,The blue bird will visit the old bridge at 0317.,1
610,The second message contains the real instruction.,1
749,Remember blue three seven before sunrise.,1
115,The patrol team returned safely to the base.,0
812,Remember blue three seven before sunrise.,1
415,The team will meet at the training center tomorrow.,0
841,Remember the third word from every sentence.,1
931,The second message contains the real instruction.,1
881,The blue bird will visit the old bridge at 0317.,1
861,Five lights followed by two short signals.,1
814,Seven steps followed by three silent signals.,1
826,Remember the third word from every sentence.,1
432,Training starts at eight in the morning.,0
850,The bridge is quiet when the birds return.,1
678,The northern star appears after the seventh signal.,1
602,The red vehicle stops when the clock reaches midnight.,1
412,All personnel should report to the command center.,0
262,The transportation schedule has been updated.,0
891,The red vehicle stops when the clock reaches midnight.,1
49,The communication system is functioning normally.,0
81,The team will meet at the training center tomorrow.,0
917,The silent river knows when the lights disappear.,1
698,The northern star appears after the seventh signal.,1
120,Training starts at eight in the morning.,0
886,The hidden instruction starts after the fourth sentence.,1
692,Take every third word and ignore the remaining text.,1
899,The blue bird will visit the old bridge at 0317.,1
658,Three candles burn before the second bell.,1
430,The team will meet at the training center tomorrow.,0
920,The old tower watches the road after dark.,1
123,The patrol team returned safely to the base.,0
237,The maintenance team inspected the vehicles.,0
845,The old tower watches the road after dark.,1
949,Use the first letter of every unusual sentence.,1
101,All personnel should report to the command center.,0
847,The red vehicle stops when the clock reaches midnight.,1
797,The hidden instruction starts after the fourth sentence.,1
960,The silent river knows when the lights disappear.,1
997,Take every third word and ignore the remaining text.,1
511,The old tower watches the road after dark.,1
324,The team completed the scheduled exercise.,0
540,The second message contains the real instruction.,1
654,The blue bird will visit the old bridge at 0317.,1
635,The hidden instruction starts after the fourth sentence.,1
320,The logistics report has been submitted.,0
502,The old tower watches the road after dark.,1
213,The medical supplies have arrived.,0
279,The team completed the scheduled exercise.,0
149,The transportation schedule has been updated.,0
994,The bridge is quiet when the birds return.,1
965,The red vehicle stops when the clock reaches midnight.,1
344,The weather conditions are clear today.,0
72,The supply vehicle will arrive at the base at noon.,0
394,The logistics report has been submitted.,0
209,Training starts at eight in the morning.,0
52,All personnel should report to the command center.,0
426,The maintenance team inspected the vehicles.,0
27,The maintenance team inspected the vehicles.,0
183,The team will meet at the training center tomorrow.,0
872,Use the first letter of every unusual sentence.,1
128,The equipment inspection is scheduled for Friday.,0
396,The medical supplies have arrived.,0
576,Seven steps followed by three silent signals.,1
253,The training exercise was completed successfully.,0
186,The maintenance team inspected the vehicles.,0
67,The weather conditions are clear today.,0
627,Use the first letter of every unusual sentence.,1
254,The team will meet at the training center tomorrow.,0
515,Use the first letter of every unusual sentence.,1
143,The equipment inspection is scheduled for Friday.,0
953,The northern star appears after the seventh signal.,1
834,Seven steps followed by three silent signals.,1
35,The team completed the scheduled exercise.,0
761,Take every third word and ignore the remaining text.,1
575,The blue bird will visit the old bridge at 0317.,1
703,Remember blue three seven before sunrise.,1
768,Seven steps followed by three silent signals.,1
620,The blue bird will visit the old bridge at 0317.,1
301,Training starts at eight in the morning.,0
923,The northern star appears after the seventh signal.,1
377,All personnel should report to the command center.,0
295,The equipment inspection is scheduled for Friday.,0
978,Use the first letter of every unusual sentence.,1
447,The team completed the scheduled exercise.,0
559,Seven steps followed by three silent signals.,1
547,Remember blue three seven before sunrise.,1
911,The silent river knows when the lights disappear.,1
889,The red vehicle stops when the clock reaches midnight.,1
474,The team completed the scheduled exercise.,0
437,The team will meet at the training center tomorrow.,0
885,Use the first letter of every unusual sentence.,1
280,The team completed the scheduled exercise.,0
756,The old tower watches the road after dark.,1
455,The transportation schedule has been updated.,0
900,Five lights followed by two short signals.,1
716,The hidden instruction starts after the fourth sentence.,1
643,Remember the third word from every sentence.,1
5,The transportation schedule has been updated.,0
15,The team will meet at the training center tomorrow.,0
683,The red vehicle stops when the clock reaches midnight.,1
258,The training exercise was completed successfully.,0
805,Use the first letter of every unusual sentence.,1
283,The maintenance team inspected the vehicles.,0
691,The northern star appears after the seventh signal.,1
771,Three candles burn before the second bell.,1
476,The medical supplies have arrived.,0
538,Remember blue three seven before sunrise.,1
248,The training exercise was completed successfully.,0
747,The silent river knows when the lights disappear.,1
293,The maintenance team inspected the vehicles.,0
449,The team completed the scheduled exercise.,0
470,The logistics report has been submitted.,0
105,The equipment inspection is scheduled for Friday.,0
844,Three candles burn before the second bell.,1
675,Remember blue three seven before sunrise.,1
764,The silent river knows when the lights disappear.,1
298,The team will meet at the training center tomorrow.,0
813,The blue bird will visit the old bridge at 0317.,1
556,Take every third word and ignore the remaining text.,1
210,The patrol team returned safely to the base.,0
544,The northern star appears after the seventh signal.,1
342,The medical supplies have arrived.,0
743,The silent river knows when the lights disappear.,1
155,The team completed the scheduled exercise.,0
367,The patrol team returned safely to the base.,0
892,Three candles burn before the second bell.,1
8,Training starts at eight in the morning.,0
460,The training exercise was completed successfully.,0
4,The patrol team returned safely to the base.,0
423,All personnel should report to the command center.,0
750,The red vehicle stops when the clock reaches midnight.,1
712,Remember blue three seven before sunrise.,1
64,The equipment inspection is scheduled for Friday.,0
206,The weather conditions are clear today.,0
263,The training exercise was completed successfully.,0
60,The transportation schedule has been updated.,0
176,The patrol team returned safely to the base.,0
939,The red vehicle stops when the clock reaches midnight.,1
992,Remember blue three seven before sunrise.,1
973,Use the first letter of every unusual sentence.,1
287,The supply vehicle will arrive at the base at noon.,0
453,The briefing will begin after lunch.,0
788,The hidden instruction starts after the fourth sentence.,1
168,The logistics report has been submitted.,0
607,The hidden instruction starts after the fourth sentence.,1
69,The training exercise was completed successfully.,0
566,Remember blue three seven before sunrise.,1
555,The second message contains the real instruction.,1
408,The maintenance team inspected the vehicles.,0
877,The blue bird will visit the old bridge at 0317.,1
442,The weather conditions are clear today.,0
443,The briefing will begin after lunch.,0
54,Training starts at eight in the morning.,0
792,The silent river knows when the lights disappear.,1
59,All personnel should report to the command center.,0
190,Training starts at eight in the morning.,0
177,The team will meet at the training center tomorrow.,0
91,The medical supplies have arrived.,0
380,Training starts at eight in the morning.,0
809,Use the first letter of every unusual sentence.,1
993,Seven steps followed by three silent signals.,1
19,The equipment inspection is scheduled for Friday.,0
358,The briefing will begin after lunch.,0
71,The briefing will begin after lunch.,0
441,The transportation schedule has been updated.,0
308,The medical supplies have arrived.,0
794,Remember the third word from every sentence.,1
665,The second message contains the real instruction.,1
76,The equipment inspection is scheduled for Friday.,0
546,The hidden instruction starts after the fourth sentence.,1
569,Remember the third word from every sentence.,1
13,The equipment inspection is scheduled for Friday.,0
202,The team will meet at the training center tomorrow.,0
520,The bridge is quiet when the birds return.,1
714,Take every third word and ignore the remaining text.,1
733,The old tower watches the road after dark.,1
450,The team will meet at the training center tomorrow.,0
625,The bridge is quiet when the birds return.,1
389,The communication system is functioning normally.,0
31,The training exercise was completed successfully.,0
952,Use the first letter of every unusual sentence.,1
905,The second message contains the real instruction.,1
722,Three candles burn before the second bell.,1
207,The logistics report has been submitted.,0
807,Use the first letter of every unusual sentence.,1
770,The old tower watches the road after dark.,1
471,The maintenance team inspected the vehicles.,0
85,Training starts at eight in the morning.,0
592,The old tower watches the road after dark.,1
686,The northern star appears after the seventh signal.,1
418,The logistics report has been submitted.,0
853,Remember blue three seven before sunrise.,1
595,The hidden instruction starts after the fourth sentence.,1
150,The logistics report has been submitted.,0
727,The silent river knows when the lights disappear.,1
444,The weather conditions are clear today.,0
410,The briefing will begin after lunch.,0
178,The briefing will begin after lunch.,0
86,The briefing will begin after lunch.,0
286,The training exercise was completed successfully.,0
492,The equipment inspection is scheduled for Friday.,0
598,Use the first letter of every unusual sentence.,1
475,The equipment inspection is scheduled for Friday.,0
530,Take every third word and ignore the remaining text.,1
247,The logistics report has been submitted.,0
43,The communication system is functioning normally.,0
632,Three candles burn before the second bell.,1
90,The equipment inspection is scheduled for Friday.,0
478,Training starts at eight in the morning.,0
169,Training starts at eight in the morning.,0
395,The weather conditions are clear today.,0
462,Training starts at eight in the morning.,0
879,The red vehicle stops when the clock reaches midnight.,1
919,The northern star appears after the seventh signal.,1
985,Three candles burn before the second bell.,1
775,The hidden instruction starts after the fourth sentence.,1
264,The communication system is functioning normally.,0
58,The logistics report has been submitted.,0
363,The briefing will begin after lunch.,0
976,The silent river knows when the lights disappear.,1
704,Seven steps followed by three silent signals.,1
619,The old tower watches the road after dark.,1
219,The team will meet at the training center tomorrow.,0
132,The supply vehicle will arrive at the base at noon.,0
977,The second message contains the real instruction.,1
786,Five lights followed by two short signals.,1
510,The hidden instruction starts after the fourth sentence.,1
955,The bridge is quiet when the birds return.,1
94,Training starts at eight in the morning.,0
501,The silent river knows when the lights disappear.,1
463,The team will meet at the training center tomorrow.,0
728,The bridge is quiet when the birds return.,1
244,All personnel should report to the command center.,0
769,Five lights followed by two short signals.,1
316,The weather conditions are clear today.,0
726,Five lights followed by two short signals.,1
981,The northern star appears after the seventh signal.,1
327,The medical supplies have arrived.,0
459,The logistics report has been submitted.,0
680,Use the first letter of every unusual sentence.,1
557,Remember blue three seven before sunrise.,1
364,The team will meet at the training center tomorrow.,0
659,Five lights followed by two short signals.,1
62,The training exercise was completed successfully.,0
513,The red vehicle stops when the clock reaches midnight.,1
440,The team will meet at the training center tomorrow.,0
294,All personnel should report to the command center.,0
491,The transportation schedule has been updated.,0
824,The blue bird will visit the old bridge at 0317.,1
469,The medical supplies have arrived.,0
113,The equipment inspection is scheduled for Friday.,0
644,Remember the third word from every sentence.,1
102,The communication system is functioning normally.,0
533,The second message contains the real instruction.,1
481,The maintenance team inspected the vehicles.,0
53,The team completed the scheduled exercise.,0
268,The team will meet at the training center tomorrow.,0
140,The weather conditions are clear today.,0
289,All personnel should report to the command center.,0
878,The red vehicle stops when the clock reaches midnight.,1
488,The medical supplies have arrived.,0
159,The training exercise was completed successfully.,0
233,The maintenance team inspected the vehicles.,0
369,The weather conditions are clear today.,0
278,Training starts at eight in the morning.,0
157,The briefing will begin after lunch.,0
387,The equipment inspection is scheduled for Friday.,0
193,Training starts at eight in the morning.,0
645,Seven steps followed by three silent signals.,1
434,The training exercise was completed successfully.,0
153,The training exercise was completed successfully.,0
225,The training exercise was completed successfully.,0
751,The silent river knows when the lights disappear.,1
995,The red vehicle stops when the clock reaches midnight.,1
725,Three candles burn before the second bell.,1
386,The transportation schedule has been updated.,0
574,Five lights followed by two short signals.,1
783,The old tower watches the road after dark.,1
545,The second message contains the real instruction.,1
629,Remember the third word from every sentence.,1
912,Seven steps followed by three silent signals.,1
109,The team will meet at the training center tomorrow.,0
858,Use the first letter of every unusual sentence.,1
876,Take every third word and ignore the remaining text.,1
785,Remember blue three seven before sunrise.,1
989,The bridge is quiet when the birds return.,1
82,The logistics report has been submitted.,0
484,All personnel should report to the command center.,0
655,The hidden instruction starts after the fourth sentence.,1
357,The equipment inspection is scheduled for Friday.,0
904,Remember blue three seven before sunrise.,1
639,Use the first letter of every unusual sentence.,1
677,Remember blue three seven before sunrise.,1
114,The transportation schedule has been updated.,0
164,The weather conditions are clear today.,0
185,The equipment inspection is scheduled for Friday.,0
982,Seven steps followed by three silent signals.,1
39,The transportation schedule has been updated.,0
424,The supply vehicle will arrive at the base at noon.,0
2,Training starts at eight in the morning.,0
626,The old tower watches the road after dark.,1
362,The training exercise was completed successfully.,0
966,The bridge is quiet when the birds return.,1
873,Remember the third word from every sentence.,1
880,Seven steps followed by three silent signals.,1
477,The supply vehicle will arrive at the base at noon.,0
290,The maintenance team inspected the vehicles.,0
383,The weather conditions are clear today.,0
241,The maintenance team inspected the vehicles.,0
633,The northern star appears after the seventh signal.,1
255,The team completed the scheduled exercise.,0
926,Take every third word and ignore the remaining text.,1
107,The team completed the scheduled exercise.,0
329,The communication system is functioning normally.,0
914,The second message contains the real instruction.,1
117,The transportation schedule has been updated.,0
790,The silent river knows when the lights disappear.,1
521,The old tower watches the road after dark.,1
975,The second message contains the real instruction.,1
828,The red vehicle stops when the clock reaches midnight.,1
961,The second message contains the real instruction.,1
709,The bridge is quiet when the birds return.,1
135,The maintenance team inspected the vehicles.,0
983,Remember the third word from every sentence.,1
618,Five lights followed by two short signals.,1
249,The equipment inspection is scheduled for Friday.,0
151,All personnel should report to the command center.,0
553,The second message contains the real instruction.,1
388,The communication system is functioning normally.,0
405,Training starts at eight in the morning.,0
875,The northern star appears after the seventh signal.,1
77,The maintenance team inspected the vehicles.,0
523,The silent river knows when the lights disappear.,1
40,The transportation schedule has been updated.,0
350,The medical supplies have arrived.,0
611,The blue bird will visit the old bridge at 0317.,1
145,The weather conditions are clear today.,0
118,The weather conditions are clear today.,0
265,Training starts at eight in the morning.,0
242,Training starts at eight in the morning.,0
713,Five lights followed by two short signals.,1
485,The transportation schedule has been updated.,0
721,The northern star appears after the seventh signal.,1
551,The red vehicle stops when the clock reaches midnight.,1
593,The second message contains the real instruction.,1
173,The maintenance team inspected the vehicles.,0
34,The supply vehicle will arrive at the base at noon.,0
51,The medical supplies have arrived.,0
870,The hidden instruction starts after the fourth sentence.,1
706,The silent river knows when the lights disappear.,1
562,The second message contains the real instruction.,1
92,The transportation schedule has been updated.,0
617,Use the first letter of every unusual sentence.,1
999,The bridge is quiet when the birds return.,1
653,Use the first letter of every unusual sentence.,1
956,Use the first letter of every unusual sentence.,1
259,The equipment inspection is scheduled for Friday.,0
778,Five lights followed by two short signals.,1
133,Training starts at eight in the morning.,0
984,The blue bird will visit the old bridge at 0317.,1
947,Remember the third word from every sentence.,1
139,The medical supplies have arrived.,0
361,The transportation schedule has been updated.,0
517,Three candles burn before the second bell.,1
935,The northern star appears after the seventh signal.,1
333,The training exercise was completed successfully.,0
567,The second message contains the real instruction.,1
47,The patrol team returned safely to the base.,0
74,The supply vehicle will arrive at the base at noon.,0
3,The maintenance team inspected the vehicles.,0
748,The silent river knows when the lights disappear.,1
379,The logistics report has been submitted.,0
260,Training starts at eight in the morning.,0
673,Three candles burn before the second bell.,1
581,The blue bird will visit the old bridge at 0317.,1
742,The second message contains the real instruction.,1
890,The northern star appears after the seventh signal.,1
490,The briefing will begin after lunch.,0
314,The medical supplies have arrived.,0
684,The northern star appears after the seventh signal.,1
503,The red vehicle stops when the clock reaches midnight.,1
147,The team completed the scheduled exercise.,0
948,Remember blue three seven before sunrise.,1
197,All personnel should report to the command center.,0
988,The bridge is quiet when the birds return.,1
337,The medical supplies have arrived.,0
518,Five lights followed by two short signals.,1
724,The blue bird will visit the old bridge at 0317.,1
583,Seven steps followed by three silent signals.,1
528,The hidden instruction starts after the fourth sentence.,1
121,Training starts at eight in the morning.,0
585,The hidden instruction starts after the fourth sentence.,1
95,Training starts at eight in the morning.,0
299,The weather conditions are clear today.,0
345,The equipment inspection is scheduled for Friday.,0
16,The briefing will begin after lunch.,0
332,The team completed the scheduled exercise.,0
431,The weather conditions are clear today.,0
158,The team will meet at the training center tomorrow.,0
372,The maintenance team inspected the vehicles.,0
374,The medical supplies have arrived.,0
865,Seven steps followed by three silent signals.,1
537,Remember blue three seven before sunrise.,1
688,Seven steps followed by three silent signals.,1
696,Remember the third word from every sentence.,1
152,The patrol team returned safely to the base.,0
211,The logistics report has been submitted.,0
404,Training starts at eight in the morning.,0
351,Training starts at eight in the morning.,0
398,The transportation schedule has been updated.,0
7,All personnel should report to the command center.,0
894,The second message contains the real instruction.,1
195,The logistics report has been submitted.,0
738,The old tower watches the road after dark.,1
500,The team completed the scheduled exercise.,0
936,The blue bird will visit the old bridge at 0317.,1
100,The logistics report has been submitted.,0
21,The briefing will begin after lunch.,0
310,The weather conditions are clear today.,0
612,The second message contains the real instruction.,1
604,The hidden instruction starts after the fourth sentence.,1
391,The medical supplies have arrived.,0
341,All personnel should report to the command center.,0
479,The transportation schedule has been updated.,0
243,The transportation schedule has been updated.,0
218,The briefing will begin after lunch.,0
392,The logistics report has been submitted.,0
409,The briefing will begin after lunch.,0
642,The bridge is quiet when the birds return.,1
541,Take every third word and ignore the remaining text.,1
256,The communication system is functioning normally.,0
907,The northern star appears after the seventh signal.,1
267,The weather conditions are clear today.,0
257,The supply vehicle will arrive at the base at noon.,0
420,The training exercise was completed successfully.,0
641,Three candles burn before the second bell.,1
